InstitutionId,InstitutionName,col_cat,Value,Period
416053,FIRSTRAND BANK LIMITED,A_operational,195324725.0,2008-05-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,49270707.11,2008-05-01
416053,FIRSTRAND BANK LIMITED,C_savings,1764208.35,2008-05-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,125677280.37,2008-05-01
416061,THE STANDARD BANK OF S A LTD,A_operational,149050937.0,2008-05-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,89431229.0,2008-05-01
416061,THE STANDARD BANK OF S A LTD,C_savings,33357402.0,2008-05-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,162522167.0,2008-05-01
416088,NEDBANK LTD,A_operational,162697756.0,2008-05-01
416088,NEDBANK LTD,B_notice_short,77227430.0,2008-05-01
416088,NEDBANK LTD,C_savings,8274247.0,2008-05-01
416088,NEDBANK LTD,D_term_wholesale,122129682.0,2008-05-01
TOTAL,*TOTAL*,A_operational,724151046.71,2008-05-01
TOTAL,*TOTAL*,B_notice_short,376622638.59,2008-05-01
TOTAL,*TOTAL*,C_savings,94307514.35,2008-05-01
TOTAL,*TOTAL*,D_term_wholesale,709855451.4,2008-05-01
25054,INVESTEC BANK LTD,A_operational,29611341.0,2008-06-01
25054,INVESTEC BANK LTD,B_notice_short,31738173.0,2008-06-01
25054,INVESTEC BANK LTD,C_savings,3518774.0,2008-06-01
25054,INVESTEC BANK LTD,D_term_wholesale,57536814.0,2008-06-01
333107,CAPITEC BANK,A_operational,50090.0,2008-06-01
333107,CAPITEC BANK,B_notice_short,41534.0,2008-06-01
333107,CAPITEC BANK,C_savings,968661.0,2008-06-01
333107,CAPITEC BANK,D_term_wholesale,1083954.0,2008-06-01
34118,ABSA BANK LTD,A_operational,154230666.0,2008-06-01
34118,ABSA BANK LTD,B_notice_short,66058750.0,2008-06-01
34118,ABSA BANK LTD,C_savings,46286187.0,2008-06-01
34118,ABSA BANK LTD,D_term_wholesale,192802617.0,2008-06-01
416053,FIRSTRAND BANK LIMITED,A_operational,211080867.78,2008-06-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,37152769.74,2008-06-01
416053,FIRSTRAND BANK LIMITED,C_savings,1772123.29,2008-06-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,133592407.13000001,2008-06-01
416061,THE STANDARD BANK OF S A LTD,A_operational,151794100.0,2008-06-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,97783249.0,2008-06-01
416061,THE STANDARD BANK OF S A LTD,C_savings,33571769.0,2008-06-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,161055187.0,2008-06-01
416088,NEDBANK LTD,A_operational,171604441.0,2008-06-01
416088,NEDBANK LTD,B_notice_short,61943493.0,2008-06-01
416088,NEDBANK LTD,C_savings,8327436.0,2008-06-01
416088,NEDBANK LTD,D_term_wholesale,127442095.0,2008-06-01
