Period,KBP,Value
2014-09-01,KBP1604M,0.76
2014-09-01,KBP1605M,4.79
2014-09-01,KBP1606M,4.93
2014-09-01,KBP1607M,5.32
2014-09-01,KBP1608M,5.06
2014-09-01,KBP1609M,5.9
2014-09-01,KBP1610M,6.36
2014-09-01,KBP1611M,8.04
2014-09-01,KBP1612M,8.69
2014-09-01,KBP1613M,2.18
2014-09-01,KBP1614M,4.08
2014-09-01,KBP1615M,2.63
2014-09-01,KBP1616M,5.15
2014-09-01,KBP1617M,5.79
2014-09-01,KBP1618M,6.17
2014-09-01,KBP1619M,6.67
2014-09-01,KBP1620M,6.15
2014-09-01,KBP1621M,7.31
2014-09-01,KBP1622M,7.39
2014-09-01,KBP1623M,7.83
2014-09-01,KBP1624M,6.11
2014-09-01,KBP1625M,5.36
2014-09-01,KBP1485M,5.75
2014-10-01,KBP1600M,2.25
2014-10-01,KBP1601M,4.88
2014-10-01,KBP1602M,5.45
2014-10-01,KBP1603M,4.98
2014-10-01,KBP1604M,0.76
2014-10-01,KBP1605M,4.64
2014-10-01,KBP1606M,4.93
2014-10-01,KBP1607M,5.14
2014-10-01,KBP1608M,5.01
2014-10-01,KBP1609M,5.96
2014-10-01,KBP1610M,6.38
2014-10-01,KBP1611M,8.1
2014-10-01,KBP1612M,8.7
2014-10-01,KBP1613M,2.34
2014-10-01,KBP1614M,4.01
2014-10-01,KBP1615M,2.63
2014-10-01,KBP1616M,5.2
2014-10-01,KBP1617M,5.78
2014-10-01,KBP1618M,6.11
2014-10-01,KBP1619M,6.64
2014-10-01,KBP1620M,6.22
2014-10-01,KBP1621M,7.08
2014-10-01,KBP1622M,7.45
2014-10-01,KBP1623M,7.86
2014-10-01,KBP1624M,6.21
2014-10-01,KBP1625M,5.4
2014-10-01,KBP1485M,5.75
2014-11-01,KBP1600M,2.24
2014-11-01,KBP1601M,4.9
2014-11-01,KBP1602M,5.41
2014-11-01,KBP1603M,4.95
2014-11-01,KBP1604M,0.78
2014-11-01,KBP1605M,4.77
2014-11-01,KBP1606M,4.95
2014-11-01,KBP1607M,5.29
2014-11-01,KBP1608M,5.38
2014-11-01,KBP1609M,6.03
2014-11-01,KBP1610M,6.39
2014-11-01,KBP1611M,8.01
2014-11-01,KBP1612M,8.65
2014-11-01,KBP1613M,2.21
2014-11-01,KBP1614M,4.02
2014-11-01,KBP1615M,2.64
2014-11-01,KBP1616M,5.23
2014-11-01,KBP1617M,5.68
2014-11-01,KBP1618M,6.14
2014-11-01,KBP1619M,6.78
2014-11-01,KBP1620M,6.23
2014-11-01,KBP1621M,6.99
2014-11-01,KBP1622M,7.36
2014-11-01,KBP1623M,7.82
2014-11-01,KBP1624M,6.22
2014-11-01,KBP1625M,5.37
2014-11-01,KBP1485M,5.75
2014-12-01,KBP1600M,1.66
2014-12-01,KBP1601M,5.0
2014-12-01,KBP1602M,5.45
2014-12-01,KBP1603M,4.95
2014-12-01,KBP1604M,0.71
2014-12-01,KBP1605M,4.87
2014-12-01,KBP1606M,4.98
2014-12-01,KBP1607M,6.1
2014-12-01,KBP1608M,5.43
2014-12-01,KBP1609M,6.1
2014-12-01,KBP1610M,6.48
2014-12-01,KBP1611M,8.13
2014-12-01,KBP1612M,8.66
2014-12-01,KBP1613M,2.18
2014-12-01,KBP1614M,4.11
2014-12-01,KBP1615M,2.01
2014-12-01,KBP1616M,5.21
2014-12-01,KBP1617M,5.66
2014-12-01,KBP1618M,6.18
2014-12-01,KBP1619M,6.63
2014-12-01,KBP1620M,6.26
2014-12-01,KBP1621M,7.14
2014-12-01,KBP1622M,7.33
2014-12-01,KBP1623M,7.91
2014-12-01,KBP1624M,6.3
2014-12-01,KBP1625M,5.36
2014-12-01,KBP1485M,5.75
2015-01-01,KBP1600M,2.22
2015-01-01,KBP1601M,4.92
2015-01-01,KBP1602M,5.47
2015-01-01,KBP1603M,5.0
2015-01-01,KBP1604M,0.76
2015-01-01,KBP1605M,4.99
2015-01-01,KBP1606M,5.02
2015-01-01,KBP1607M,5.52
2015-01-01,KBP1608M,5.79
2015-01-01,KBP1609M,6.18
2015-01-01,KBP1610M,6.58
2015-01-01,KBP1611M,8.05
2015-01-01,KBP1612M,8.65
2015-01-01,KBP1613M,2.17
2015-01-01,KBP1614M,4.18
2015-01-01,KBP1615M,2.54
2015-01-01,KBP1616M,5.21
2015-01-01,KBP1617M,5.79
2015-01-01,KBP1618M,6.14
2015-01-01,KBP1619M,6.65
2015-01-01,KBP1620M,6.25
2015-01-01,KBP1621M,7.01
2015-01-01,KBP1622M,7.38
2015-01-01,KBP1623M,7.75
2015-01-01,KBP1624M,6.31
2015-01-01,KBP1625M,5.39
2015-01-01,KBP1485M,5.75
2015-02-01,KBP1600M,2.3
2015-02-01,KBP1601M,5.05
2015-02-01,KBP1602M,5.48
2015-02-01,KBP1603M,5.05
2015-02-01,KBP1604M,0.76
2015-02-01,KBP1605M,5.0
2015-02-01,KBP1606M,5.01
2015-02-01,KBP1607M,5.53
2015-02-01,KBP1608M,5.85
2015-02-01,KBP1609M,6.18
2015-02-01,KBP1610M,6.62
2015-02-01,KBP1611M,8.05
2015-02-01,KBP1612M,8.57
